"X","X.1","","cor"
"SEC24A","UBE2D1","0.000106939125508632","0.273198866092108"
"SEC24A","SAR1B","1.02140518265514e-14","0.515749251242652"
"LYPLA2","TAZ","0.000179603606416556","0.264489599682846"
"EIF2S1","TP73","0.0439663475139105","0.144056587199526"
"EIF2S1","KPNA2","0.027406621560345","0.157570713172024"
"APAF1","FAS","0.000439643706371395","0.248710168442689"
"CASP3","RRM2","3.390975322759e-08","0.381693434258408"
"IL6ST","DDX3X","0.0184281405373228","0.168224567346274"
"PPP1R12A","JUN","0.030440879964712","0.154651199419968"
"PPP1R12A","ROCK1","0.00440416781593456","0.202586787727517"
"PPP1R12A","PTEN","0.029406694304376","0.155617179789901"
"PPARA","SOS1","0.00233524381316785","0.216227255995532"
"PPARA","CLDN1","0.025457489845633","0.159595670329678"
"PPARA","RNASEL","0.00111157763124581","0.231218213561383"
"PPARA","TNF","0.00014819378225317","0.267753130274516"
"MPDZ","PPP2R1B","0.0370918436864875","0.149031475090911"
"PLXNA2","SEMA6D","0.018610726665147","0.167966808840131"
"E2F3","YWHAQ","0.00033831239327986","0.253432126600761"
"E2F3","CCDC6","0.0334609036701532","0.151982135725642"
"E2F3","MCM3","1.72187153424375e-10","0.43580700735786"
"E2F3","CCNA1","0.000182711258575274","0.264196321985496"
"PPM1B","MAP4K3","1e-30","0.640597803025046"
"PPM1B","TGFBR2","5.04993531413866e-06","0.319374126342251"
"PPM1B","RASA1","4.97032970869782e-06","0.319595130328728"
"CSF1","SOS1","0.00014226470413492","0.268441001214834"
"CSF1","EDA","0.0023796756939527","0.215833688457755"
"UBE2B","UBE2W","0.0432884090118084","0.144516893094979"
"UBE2B","ANAPC13","0.000187813621968402","0.26372474130583"
"UBE2B","CUL3","1.24324463244285e-05","0.306546031985963"
"UBE2B","CDC23","6.05387651120282e-09","0.400425731531448"
"PIP4K2A","SSH1","0.00375512974222802","0.206093584986156"
"SMAD5","SMAD7","0.0157202750677339","0.172334226961535"
"PPP3CB","RRAS2","0.00105263359224761","0.232281629008441"
"PPP3CB","CREBBP","0.00220017081400203","0.217466947076233"
"PPP3CB","PPM1A","0.00161386986191214","0.223809374124447"
"PPP3CB","ATF2","0.000595907848591093","0.24311301492761"
"ITGB3","PPP3R1","7.32747196252603e-15","0.518192619575449"
"PPP3CB","GNAI1","0.00152428953908079","0.224959412424142"
"ITGB3","CCND2","0.00222115553549518","0.217269887143713"
"ITGB3","LAMA1","0.000715693058613187","0.239678949329607"
