pathwayId,pathwayName,annMoleculeRatio,annBgRatio,pvalue,fdr,annMoleculeList
path:04510_1,Focal adhesion,59/2975,109/21796,0,0,10000;10319;1277;1278;1281;1282;1284;1288;1289;1290;1291;1292;1293;1301;1311;1950;1956;2064;207;2321;2335;284217;3479;3480;3688;3690;3695;3696;3791;3908;3909;3914;3915;3918;4233;4638;5154;5155;5156;5159;5290;5291;5293;55742;56034;5649;63923;6654;6655;7057;7058;7094;7414;7422;7424;80310;824;83660;8503
path:04722_7,Neurotrophin signaling pathway,16/2975,24/21796,3.46E-09,2.15E-08,10000;10019;207;27330;2885;3845;4893;5290;5291;5293;6195;6196;6197;6654;6655;8503
path:05200_6,Pathways in cancer,18/2975,30/21796,4.30E-09,2.15E-08,10000;10319;1282;1284;1288;207;2335;284217;3688;3908;3909;3914;3915;3918;5290;5291;5293;8503
path:05222_9,Small cell lung cancer,18/2975,30/21796,4.30E-09,2.15E-08,10000;10319;1282;1284;1288;207;2335;284217;3688;3908;3909;3914;3915;3918;5290;5291;5293;8503
path:04110_9,Cell cycle,11/2975,13/21796,1.80E-08,7.21E-08,1017;1869;1870;1871;23594;4172;4175;890;8900;9134;993
path:04350_20,TGF-beta signaling pathway,13/2975,19/21796,6.75E-08,2.25E-07,4087;4088;4090;4091;4092;6093;7040;7042;7048;7124;9372;9475;9765
path:04010_24,MAPK signaling pathway,17/2975,37/21796,1.97E-06,5.63E-06,10000;1843;1844;1848;1849;1852;207;3310;355;4208;5600;5601;5603;56940;6416;7046;7048
path:04810_4,Regulation of actin cytoskeleton,9/2975,13/21796,6.91E-06,1.68E-05,10787;22800;3071;3845;4893;5880;5881;8936;9459
path:04010_9,MAPK signaling pathway,18/2975,44/21796,7.57E-06,1.68E-05,2246;2247;2252;2254;2263;2264;22800;2885;3845;4893;5566;5567;5578;5921;6654;6655;8823;9693
path:04540_18,Gap junction,10/2975,18/21796,3.39E-05,6.77E-05,1950;1956;23236;5154;5155;5156;5159;5578;56034;80310
path:04270_14,Vascular smooth muscle contraction,11/2975,22/21796,4.95E-05,9.00E-05,1909;23236;2776;5578;5580;5583;5594;5595;5604;5605;800
path:04810_19,Regulation of actin cytoskeleton,8/2975,13/21796,8.09E-05,0.000134783,10788;4659;5499;5500;5880;5881;6093;9475
path:04010_2,MAPK signaling pathway,5/2975,7/21796,0.000779813,0.001114019,1147;4214;5495;6885;8491
path:04110_23,Cell cycle,5/2975,7/21796,0.000779813,0.001114019,5933;5934;9088;983;993
path:00071_29,Fatty acid metabolism,7/2975,14/21796,0.001246099,0.001661465,10449;1962;2180;2181;2182;3033;34
path:04620_3,Toll-like receptor signaling pathway,3/2975,3/21796,0.002540693,0.003175866,3663;51135;7189
path:00240_4,Pyrimidine metabolism,4/2975,8/21796,0.015339198,0.018046116,124583;7083;7084;9583
path:00230_4,Purine metabolism,16/2975,68/21796,0.018913001,0.021014445,10621;10622;107;109;113;270;271;27115;5137;5138;5140;5144;5151;5152;5439;5440
